,trade_date,buy_price,highest_price,increase_rate
0,20131108,1.4406,3.1752,1.204081632653061
1,20131220,1.3421,4.0808,2.0406080023843227
2,20140103,1.3201,5.3215,3.0311340049996214
3,20141231,1.9948,7.6559,2.8379286143974336
4,20150403,2.2829,7.6559,2.353585351964606
5,20150724,4.2557,6.8106,0.6003477688746857
6,20150930,2.5902,6.8106,1.6293722492471623
7,20160122,4.2631,35.8626,7.412329056320519
8,20160226,4.6291,35.8626,6.747207880581538
9,20160527,3.653,35.8626,8.817300848617576
10,20160930,6.9738,13.2184,0.8954372078350399
